"Date","Price","Open","High","Low","Change %"
"Jan 15, 2021","14,010.0","14,040.0","14,062.5","14,012.5","-0.28%"
"Jan 14, 2021","14,050.0","14,075.0","14,109.0","14,055.0","-0.04%"
"Jan 13, 2021","14,055.0","14,090.0","14,117.5","14,057.5","-0.46%"
"Jan 12, 2021","14,120.0","14,120.0","14,217.5","14,115.0","0.28%"
"Jan 11, 2021","14,080.0","14,020.0","14,165.0","14,020.0","0.72%"
"Jan 08, 2021","13,980.0","13,915.0","14,061.5","13,915.0","0.65%"
"Jan 07, 2021","13,890.0","13,900.0","13,945.0","13,900.0","0.07%"
"Jan 06, 2021","13,880.0","13,920.0","13,930.0","13,895.0","-0.14%"
"Jan 05, 2021","13,900.0","13,900.0","13,932.5","13,900.0","0.11%"
"Jan 04, 2021","13,885.0","13,910.0","13,940.0","13,862.5","-2.31%"
"Jan 01, 2021","14,213.7","14,213.5","14,214.2","13,919.0","1.17%"
"Dec 30, 2020","14,050.0","14,120.0","14,120.0","14,050.0","-0.43%"
"Dec 29, 2020","14,110.0","14,150.0","14,160.0","14,130.0","-0.21%"
"Dec 28, 2020","14,140.0","14,155.0","14,177.5","14,150.0","-0.07%"
"Dec 23, 2020","14,150.0","14,155.0","14,274.0","14,155.0","0.04%"
"Dec 22, 2020","14,145.0","14,140.0","14,212.5","14,140.0","0.32%"
"Dec 21, 2020","14,100.0","14,110.0","14,175.0","14,110.0","0.14%"
"Dec 18, 2020","14,080.0","14,102.5","14,147.5","14,100.0","-0.04%"
"Dec 17, 2020","14,085.0","14,125.0","14,137.5","14,105.0","-0.04%"
"Dec 16, 2020","14,090.0","14,110.0","14,158.0","14,110.0","0.00%"
"Dec 15, 2020","14,090.0","14,105.0","14,173.5","14,105.0","0.14%"
"Dec 14, 2020","14,070.0","14,100.0","14,155.0","14,095.0","0.00%"
"Dec 11, 2020","14,070.0","14,100.0","14,119.0","14,079.5","-0.14%"
"Dec 10, 2020","14,090.0","14,095.0","14,120.0","14,095.0","0.07%"
